,Astrocyte,Endothelial,Microglia,Excitatory,Inhibitory,Oligo
CARNS1,0.753989123,44.7029332,0,2.576501304,0.962181467,225.0531962
TTLL7,2.024135877,56.52287455,0,106.0069029,108.8084632,643.7097827
MAG,0,1.27103015,0,0.604982435,0,853.4196408
LAMP2,787.961874,342.3622919,523.0919332,160.1518445,224.5236663,3297.352454
ABCA8,1.643595807,18.9434493,0.071848143,1.122675783,1.719603448,177.7603932
GLTP,116.7865466,326.2036934,165.1920004,59.242765,93.23262965,1590.1903
ADAMTS4,0.872035474,787.6698275,68.90180421,2.856337826,1.473001933,157.5032081
HHIP,5.478727211,4.93881635,0,1.553170957,9.091840924,164.5568109
SLC24A2,20.55256921,58.30557605,11.94658729,320.1645998,198.2651752,1544.65499
PLLP,0.21123486,210.3782217,1.604128643,4.434463957,100.7925389,1051.886473
GPM6B,1540.813585,233.0912813,445.8155397,626.4118703,308.8559964,3197.326026
SLCO1A2,0.674662772,194.1996607,0,8.663611826,0.585412038,406.2200548
LPAR1,25.33450454,27.7557323,1.147471571,2.839576217,0.747385257,713.9544569
CLMN,14.56440763,31.1048809,0,11.76017809,8.328465819,200.8742282
SLC44A1,7.874128,20.91163185,0.196953286,12.78417548,13.53761536,274.8402079
HSPA2,86.78765709,131.1141365,56.65120693,9.682859391,10.5018079,793.5319226
RASSF2,40.35066328,143.9195005,247.9181816,19.2241227,32.82351104,748.0571662
TRIM59,0,59.23974875,0.231435643,0.284318652,1.870852448,701.2693527
PLEKHH1,40.15177118,68.93948355,0,55.64103187,17.95656114,295.8388143
ERBB3,15.80013318,5.1932941,9.310071429,5.925942304,20.3074152,281.7820331
VCAN,15.77014826,33.4888278,0.484162786,0.302084391,52.2823846,10.63423857
PTPRZ1,1101.946804,0.9563587,485.5495059,56.02707765,197.2780716,32.21625714
PDGFRA,0.015649105,50.81969435,0.114347857,0.091793826,39.93576989,17.83797811
SEMA5A,4.76544686,109.9358383,0,77.30199839,81.5431392,39.55077251
XYLT1,12.91875723,0.4256751,0.303389571,17.09881522,12.37297508,7.484949171
LHFPL3,0,0,2.621887429,12.3421173,52.70426473,206.9921247
PCDH15,0,0.15243365,2.242672357,14.77647135,37.15183412,11.95656606
LRRK2,27.89233925,45.1426033,1.313255071,75.78401787,17.4294999,4.073800571
B3GNT7,0.109445667,49.86724915,0,2.150452652,105.3530078,82.8071382
PDZD2,2.663675018,54.5255699,3.157324643,7.901391174,32.31164293,18.97160426
SOX6,22.10995642,0.62933015,0,4.616312739,15.38275232,5.566891171
TNR,1.517341456,0,0.09584,23.7852567,11.52233524,4.851781
SAPCD2,0.158331053,0,0,0.116376087,1.268421048,3.903933286
PER2,318.8002904,300.0176567,435.870484,283.0980493,146.4267001,206.2478518
BLM,0,0,0.134833143,1.204058304,26.31259123,1.087150314
MMP16,0.59989207,2.08073085,0.122645929,127.5517371,98.67037192,22.2394244
RAB31,321.6392296,14.19617555,538.3348164,16.51734822,43.26113402,12.17424483
OLIG1,17.05992353,40.3381282,10.29253336,0.196413391,38.2254185,386.8798211
MEGF11,3.946752561,1.0279576,0,0.147391174,34.75723289,5.796136629
LUZP2,101.2184585,0.02849365,0.309613643,64.34411483,110.7597358,52.94203689
CCDC50,55.1039077,97.719214,21.39857729,49.93971739,48.56499425,25.93581271
CRISPLD2,0.451695193,982.7281374,12.20658214,1.737808,4.372348552,0.090342257
CREB5,3.216264754,81.48623165,4.7860855,66.76917439,20.67039762,459.3765226
APOD,22.17166182,7061.317219,258.240008,88.52822035,246.3951237,2880.836614
COL11A1,162.3253681,10.54078635,0,79.66814543,167.8960433,2.544167657
MKLN1,298.5090538,79.49194575,36.24602529,108.2449867,89.78566791,143.4926267
IL1RAP,0.148691614,0.1299308,440.1139608,44.54946735,24.91973404,11.50424106
CRY1,21.59435456,213.2150708,195.1858181,19.88220135,24.58537387,84.67404911
ITGB8,212.9216378,5.28026005,0.321626071,114.0948373,62.44351237,611.160245
SULF2,0.63424014,117.2991797,52.27729693,40.18106661,40.50166869,10.96545131
ETV1,27.47046961,2.20639025,0.767011786,78.91720387,22.0933209,6.004645743
CA10,5.117122368,0.2581815,0.333900071,78.90517878,22.99979013,29.78481037
TSC22D1,346.5040092,1553.421159,178.6009147,652.2199367,623.3948991,183.6725907
KCNJ16,74.32312128,0,0,0.331721435,3.040907162,0.122116714
COL9A1,8.752613474,0.6674943,0,0.526764043,12.46542161,4.267334371
SLC35F1,333.7828415,100.4043858,0.730038143,580.5164562,762.8359994,47.53456017
SCD5,1127.201602,32.74632085,2.838765,759.4259139,409.8601069,1406.506862
PELI1,1.138383772,716.0897586,548.2045022,126.4120289,80.89598257,168.5815501
PLEKHH2,76.13574423,27.0410899,0,8.08235,5.006812057,89.69514374
HMGCS1,715.9357344,679.6949015,444.3543826,331.9296671,481.0124026,952.7391089
DSEL,8.043373368,38.2840707,21.98082893,32.14198522,61.42308734,239.9398545
LIMA1,34.97689379,137.4632078,1.250556714,75.64319674,53.98975175,134.1407756
MYT1,0.458885158,0.67610195,0.8440705,0,30.48137406,1.6330204
SKIL,142.8746784,240.9505685,486.5590924,192.8878059,197.3182598,424.608893
IDI1,1227.923713,765.8663455,142.9531965,226.1593134,419.0948808,1211.895688
EPN2,32.23053509,31.05309145,3.911485643,7.632941261,23.22032046,22.69068797
CNN3,1231.959226,616.598784,8.5932175,178.5841958,146.2904931,362.0354428
SEZ6L,6.855401053,4.59534325,0.415507643,144.1240838,220.41943,11.9727968
GRIA4,33.63994628,4.39773865,0.212861857,129.0902018,192.76204,42.75432474
DSCAM,0.467391246,0,0.145239214,59.76641748,70.53396863,4.416611543
LAPTM5,0.232561649,0,1684.059481,0.057156043,28.34053007,30.7723634
ITGAX,1.925553,0,1676.973487,0,17.46180984,0.066458314
C3,0.060352544,0,1906.353716,0.107621,4.235048486,0.683182371
CD74,12.71374198,318.1938324,9275.551495,1.713953609,109.7288487,1.109120714
ADAM28,0.094996035,0,535.0813474,0.087505435,1.903804971,2.660471457
ADORA3,15.75734214,3.39224695,636.6114042,0,3.195467219,112.5588375
B4GALT1,20.89237798,350.9170403,492.2405086,9.09703087,14.51179659,0.103198914
CD53,13.21365425,0,4287.653271,46.664864,4.172591771,0.7490248
OLR1,0.113161807,0,8679.817908,28.96009283,18.97513912,0.133808971
PLEK,14.62384442,0.34668305,4705.997016,2.364335696,26.00701553,0.532806343
PTPRC,0.168388649,0,770.2589488,0.127460435,5.037415638,0.219671257
SRGN,21.65656356,3181.083672,14668.88425,2.985502087,73.78817337,2.393195743
KCTD12,3.135045596,130.2665033,953.5482381,14.9535287,101.8774712,1.281257771
A2M,13.79032826,1223.190171,3253.316501,0.706113087,29.36281139,7.474014514
CD83,72.14256946,1182.012254,6987.465726,117.0584033,49.50280035,0.919273086
SERPINB9,331.5967992,270.2022075,2581.074917,76.90779291,272.6088312,51.21838323
SPP1,54.7797556,332.2598551,25242.1558,162.8257443,293.9109284,7127.765593
MSR1,0.601719474,0,2108.627692,0.078980174,13.05990718,0.153216686
CTSS,0,68.82389335,264.7311536,16.94039839,22.49846686,1.307393657
HAVCR2,10.75159833,0,1913.909048,0.485231565,19.67509121,2.742548657
S100A11,0,723.296305,2936.835317,0,25.85085476,1.442581857
LPCAT2,0.114236474,5.02952025,679.1045356,2.462100391,9.709621257,9.490332171
ETS2,6.596450789,185.2148354,1082.393272,56.70121113,16.46446443,0.480262971
SOCS6,14.05667802,1.62844575,991.7615991,2.985463565,32.26906813,31.14544814
IL13RA1,6.957433386,137.4570557,670.2065903,0,2.932450133,5.683985514
ST6GAL1,2.223678404,247.0193385,758.0433243,4.062535435,8.991644343,0.184958514
SLCO2B1,0.055201561,46.8975495,127.7918197,3.650482826,1.345158638,0.083672514
SGK1,9.400381368,467.7512172,2511.166755,58.78845122,90.47831027,691.112886
ZFP36L2,272.5177391,1349.479719,2818.43385,10.47757904,65.93506503,263.5727975
PABPC3,20.64945318,69.12290035,184.5342898,12.40538687,26.09554129,16.49565257
CSF1R,1.512752614,0,866.8290167,0.401956435,8.650697305,3.5615034
CD4,16.35821953,156.2469886,385.0792152,0,0.845360581,0.128425343
ELF1,11.82386779,283.5923675,1290.133685,0.52063687,14.60473525,164.4068185
MSN,44.4274927,324.7958527,272.6719512,1.911938304,7.784039324,37.03611406
CMTM6,82.15621347,30.909344,1569.394475,26.69997339,64.06098135,5.416626086
RNASET2,3.342623351,0.95644165,124.7497395,14.09686309,35.86884277,0.0282412
SP100,0.050965193,127.1339633,117.3916214,0.064002,2.579697248,0.738254286
CTSB,248.6917031,10.56073395,1367.597009,229.4472974,208.0145919,50.55928977
ZCCHC6,58.54994358,49.9007014,919.9609435,50.30335791,43.60234406,62.1075574
KLHL6,0.228094035,0,54.81810307,0.081404652,0.233696543,0.051740143
RPL30,58.12695621,409.3839097,504.5840198,85.95299622,126.976515,228.4934037
NEDD9,23.33519746,179.5859556,503.6882424,11.69028783,1.386748467,0.550806429
IRAK2,11.51724995,5.7126871,838.2808003,0,14.4618171,5.170357657
DUSP6,218.1593187,477.6014204,2438.615517,333.1220171,89.0573801,29.21903717
FCGRT,27.51102542,35.625229,290.2186733,2.256188391,5.887439352,0.395279714
EPB41L2,42.92718221,37.93458945,404.0553842,47.3225577,18.53886704,69.32517691
REL,19.93876707,97.52757385,181.2226688,6.256660826,13.67404734,2.9148454
GPX1,58.78467812,165.3691812,1392.287381,95.76540861,171.9380655,30.49992191
CXCL16,25.97290347,0,264.8948644,0,4.615770914,0.424477343
GBP2,1.302192263,109.6377643,504.4440291,2.732837652,0.975011495,0.169371629
B2M,592.5318671,12585.53127,8494.181535,306.2763695,635.2940611,1486.923152
APOLD1,2.63846293,2511.110675,0.170812714,0.150972,0.747801162,2.764087571
CEBPD,55.30442119,425.48586,40.93070021,21.74910491,4.499100019,0.081089486
LGALS1,286.0879741,1736.294969,73.50076843,216.1198194,172.7982216,29.74126994
ITIH5,0,114.3608061,0,1.572511304,0.208249676,0.058393286
TACC1,240.2002099,1199.161788,320.4533294,223.7685135,103.1654517,156.5007508
NFKBIA,484.9187379,2562.677986,652.0916131,82.54331526,115.7193104,168.663747
PTRF,0.031001246,343.302383,0,0.420626826,0.657285552,25.42841017
CALD1,38.59058675,354.6067625,0,49.40484974,41.85547506,125.0540695
ARHGAP29,20.69900809,144.7901594,0,2.876351522,9.919680505,0.011376771
VIM,234.1155478,1173.246238,5.504285357,10.53273822,10.65806174,0.291147057
