,Astrocyte,Endothelial,Microglia,Excitatory,Inhibitory,Oligo
RAB33B,64.16254828,36.73898275,252.7534788,190.15288,99.77660246,153.0462274
PTGER4,0.373790877,0,69.71475043,0,3.426328838,0.358055029
MYC,21.36249665,37.60040775,453.6042554,21.58772817,15.31352981,0
FGR,0.032149772,2.86558755,206.4742519,0,0.729236181,0
C5AR1,0.301019298,0.38379105,210.8392716,14.27356291,10.74904005,0
ZC3H12A,0.641732193,13.51040525,19.069595,0.204748565,0.456539476,1.206103686
CLEC4A,123.2166597,105.5392482,927.0387129,0.481649609,176.0790787,9.1936348
ID2,1472.046189,704.1064191,2208.291115,1288.057801,482.4301348,148.0780276
TNFRSF10B,1.925648737,253.759237,358.7574682,0.123730391,7.119000552,0
LMO1,0.791903123,0,49.869997,1.17868687,2.67130979,6.762068343
PGM5,0,21.9361143,74.98378943,0,0.127533724,0
CD55,10.31717972,191.6422868,535.6888709,24.51492491,61.6605547,204.2346081
OSCAR,0.49235786,0,12.68584364,1.756854478,0.675965619,0.094824143
RAD51B,6.833062158,1.1261314,12.29294643,0.031149565,6.942896743,3.723001629
VMO1,1.482002386,0,698.9770799,0,26.18981817,0
P4HA1,230.5220652,381.528891,388.134317,103.0159604,58.90190998,112.1795477
ZNF490,55.54038,25.61117185,450.4915611,40.96158587,42.66713444,28.51622523
CDK6,2.688056719,6.3034086,148.4243801,5.545817087,12.30073201,105.5282562
AGPAT9,0,0,382.921896,40.73124609,6.673976695,0.342130943
HSPA1A,2.792916386,3.2191733,10.66694971,3.617117696,5.031056914,3.034909943
ACSL1,35.80229539,23.95269585,965.0790615,59.12859717,31.18486929,260.7898831
PIM1,8.767832316,27.6173943,118.3625979,89.7366767,33.04719848,1.583834171
NFKBID,6.610174719,5.35827485,35.02133071,3.718757348,5.078263952,0
GNLY,0,5.5672327,19.07144514,0,1.750430181,0
EIF4EBP1,1.676150719,0,94.89790371,0,12.50953745,0
RNF144B,206.7360162,157.3625633,557.2243677,0.339878696,63.5955591,0.049542571
PSMG2,354.086712,6.22729755,765.0489713,190.9146047,176.9291916,150.2156811
ZNF85,51.56529486,0,466.4664879,6.812478783,43.23481859,0.039461743
